Condition	Gene1	Gene2	PCC_all	PCC_L1out	dPCC	Pval
ABCA13_LOF	BATF3	IKZF1	0.352	0.201	0.151	0.000
ABCA13_LOF	IKZF1	STAT3	0.254	0.116	0.138	0.000
ABCA8_LOF	DCST2	PCDHB2	0.256	0.132	0.124	0.001
ABCA8_LOF	FLT1	SETD7	0.321	0.222	0.100	0.000
ABCA8_LOF	RXRB	TCEAL4	0.249	0.121	0.128	0.000
ABCA8_LOF	SKOR2	TCEAL4	0.249	0.138	0.111	0.000
ABCB5_LOF	IL13RA1	STAT6	0.349	0.131	0.218	0.001
ABCB5_LOF	SMIM12	TMEM35B	0.289	0.130	0.159	0.000
ACOX1_LOF	NEUROD1	OTX2	0.339	0.233	0.106	0.001
AIMP1_LOF	AK9	PURB	0.276	0.172	0.104	0.001
ALL	ATP6V0A2	MYB	0.267	0.163	0.104	0.000
ALL	ATP6V0A2	PAX5	0.262	0.102	0.160	0.000
ALL	BCL2	EBF1	0.272	0.149	0.123	0.000
ALL	BCL2	MYB	0.254	0.131	0.123	0.000
ALL	DHODH	MEF2C	0.268	0.148	0.119	0.000
ALL	DHODH	MYB	0.375	0.265	0.110	0.000
ALL	DHODH	PAX5	0.304	0.181	0.123	0.000
ALL	DHODH	RUNX1	0.260	0.125	0.136	0.000
ALL	EBF1	MEF2C	0.286	0.159	0.127	0.000
ALL	GCLC	MYB	0.370	0.252	0.118	0.000
ALL	GCLC	PAX5	0.307	0.190	0.116	0.000
ALL	GCLC	RUNX1	0.318	0.214	0.104	0.000
ALL	GCLC	SLC25A19	0.280	0.138	0.142	0.000
ALL	MEF2C	MYB	0.282	0.175	0.107	0.000
ALL	MEF2C	PAX5	0.272	0.110	0.162	0.000
ALL	MYB	RUNX1	0.440	0.340	0.100	0.000
ALL	PAX5	PPCS	0.300	0.196	0.104	0.000
AML	ABL1	LMO2	0.281	0.391	-0.111	0.000
AML	ABLIM1	IL18	0.356	0.246	0.110	0.001
AML	ABLIM1	SAR1B	0.370	0.270	0.100	0.000
AML	ACSL4	SIK3	0.282	0.164	0.118	0.000
AML	ALAD	IRF8	0.264	0.090	0.173	0.000
AML	ALAD	MED13L	0.249	0.134	0.115	0.000
AML	ALAD	SIK3	0.279	0.158	0.121	0.000
AML	ARHGAP45	IRF8	0.250	0.120	0.129	0.000
AML	BTBD10	RUNX2	0.251	0.149	0.102	0.000
AML	C2orf76	P2RY12	0.384	0.279	0.105	0.001
AML	C2orf76	RUNX2	0.279	0.165	0.115	0.001
AML	CBFB	GFI1	0.263	0.159	0.104	0.000
AML	CBFB	LMO2	0.297	0.096	0.201	0.000
AML	CBFB	MICU1	0.269	0.128	0.141	0.000
AML	CBFB	MYB	0.496	0.356	0.141	0.000
AML	CBFB	ZEB2	0.251	0.124	0.127	0.000
AML	CEBPA	DENND4A	0.253	0.088	0.165	0.000
AML	CEBPA	GFI1	0.272	0.050	0.223	0.000
AML	CEBPA	IRF8	0.249	0.037	0.213	0.000
AML	CEBPA	MICU1	0.253	0.048	0.205	0.000
AML	CEBPA	MYB	0.282	0.086	0.197	0.000
AML	CIBAR1	PHKB	0.250	0.148	0.103	0.000
AML	CITED2	STAT5B	0.291	0.179	0.112	0.000
AML	CSF2RA	CSF2RB	0.362	0.003	0.360	0.000
AML	CSF2RA	JAK2	0.280	-0.107	0.387	0.000
AML	CSF2RA	RUNX1	0.277	0.088	0.189	0.000
AML	CSF2RB	JAK2	0.376	-0.001	0.377	0.000
AML	CSF2RB	KRT72	0.152	0.253	-0.101	0.000
AML	DENND4A	IRF8	0.288	0.149	0.139	0.000
AML	EBF1	IRF8	0.200	0.318	-0.119	0.000
AML	EBF1	SPI1	0.178	0.281	-0.102	0.000
AML	FAM227B	PDK3	0.305	0.203	0.102	0.000
AML	FLI1	ZEB2	0.259	0.159	0.100	0.000
AML	GATA1	LMO2	0.382	0.278	0.104	0.000
