Condition	Gene1	Gene2	PCC_all	PCC_L1out	dPCC	Pval
ABCA13_LOF	BATF3	IKZF1	0.352	0.201	0.151	0.000
ABCA13_LOF	BATF3	STAT3	0.302	0.148	0.154	0.002
ABCA13_LOF	IKZF1	STAT3	0.254	0.116	0.138	0.000
ABCA8_LOF	AP5B1	DCST2	0.253	0.137	0.116	0.002
ABCA8_LOF	DCST2	PCDHB2	0.256	0.132	0.124	0.001
ABCA8_LOF	FLT1	SETD7	0.321	0.222	0.100	0.000
ABCA8_LOF	RPRML	STRIP2	0.249	0.138	0.110	0.002
ABCA8_LOF	RXRB	TCEAL4	0.249	0.121	0.128	0.000
ABCA8_LOF	SKOR2	TCEAL4	0.249	0.138	0.111	0.000
ABCA8_LOF	ZNF419	ZNF770	0.280	0.167	0.113	0.002
ABCB5_LOF	IL13RA1	STAT6	0.349	0.131	0.218	0.001
ABCB5_LOF	SMIM12	TMEM35B	0.289	0.130	0.159	0.000
ACOX1_LOF	NEUROD1	OTX2	0.339	0.233	0.106	0.001
AIMP1_LOF	AK9	PURB	0.276	0.172	0.104	0.001
ALL	ATP6V0A2	MYB	0.267	0.163	0.104	0.000
ALL	ATP6V0A2	PAX5	0.262	0.102	0.160	0.000
ALL	BCL2	EBF1	0.272	0.149	0.123	0.000
ALL	BCL2	MYB	0.254	0.131	0.123	0.000
ALL	DHODH	MEF2C	0.268	0.148	0.119	0.000
ALL	DHODH	MYB	0.375	0.265	0.110	0.000
ALL	DHODH	PAX5	0.304	0.181	0.123	0.000
ALL	DHODH	RUNX1	0.260	0.125	0.136	0.000
ALL	EBF1	MEF2C	0.286	0.159	0.127	0.000
ALL	GCLC	MYB	0.370	0.252	0.118	0.000
ALL	GCLC	PAX5	0.307	0.190	0.116	0.000
ALL	GCLC	RUNX1	0.318	0.214	0.104	0.000
ALL	GCLC	SLC25A19	0.280	0.138	0.142	0.000
ALL	MEF2C	MYB	0.282	0.175	0.107	0.000
ALL	MEF2C	PAX5	0.272	0.110	0.162	0.000
ALL	MYB	RUNX1	0.440	0.340	0.100	0.000
ALL	PAX5	PPCS	0.300	0.196	0.104	0.000
AML	ABL1	LMO2	0.281	0.391	-0.111	0.000
AML	ABLIM1	IL18	0.356	0.246	0.110	0.001
AML	ABLIM1	SAR1B	0.370	0.270	0.100	0.000
AML	ACSL4	SIK3	0.282	0.164	0.118	0.000
AML	ALAD	IRF8	0.264	0.090	0.173	0.000
AML	ALAD	MED13L	0.249	0.134	0.115	0.000
AML	ALAD	SIK3	0.279	0.158	0.121	0.000
AML	ARHGAP45	IRF8	0.250	0.120	0.129	0.000
AML	BCO1	P2RY12	0.297	0.187	0.110	0.002
AML	BTBD10	RLN2	0.356	0.255	0.102	0.002
AML	BTBD10	RUNX2	0.251	0.149	0.102	0.000
AML	C2orf76	P2RY12	0.384	0.279	0.105	0.001
AML	C2orf76	RUNX2	0.279	0.165	0.115	0.001
AML	CBFB	GFI1	0.263	0.159	0.104	0.000
AML	CBFB	LMO2	0.297	0.096	0.201	0.000
AML	CBFB	MICU1	0.269	0.128	0.141	0.000
AML	CBFB	MYB	0.496	0.356	0.141	0.000
AML	CBFB	ZEB2	0.251	0.124	0.127	0.000
AML	CEBPA	DENND4A	0.253	0.088	0.165	0.000
AML	CEBPA	GFI1	0.272	0.050	0.223	0.000
AML	CEBPA	IRF8	0.249	0.037	0.213	0.000
AML	CEBPA	MICU1	0.253	0.048	0.205	0.000
AML	CEBPA	MYB	0.282	0.086	0.197	0.000
AML	CIBAR1	PHKB	0.250	0.148	0.103	0.000
AML	CITED2	STAT5B	0.291	0.179	0.112	0.000
AML	CSF2RA	CSF2RB	0.362	0.003	0.360	0.000
AML	CSF2RA	JAK2	0.280	-0.107	0.387	0.000
AML	CSF2RA	RUNX1	0.277	0.088	0.189	0.000
AML	CSF2RB	JAK2	0.376	-0.001	0.377	0.000
AML	CSF2RB	KRT72	0.152	0.253	-0.101	0.000
AML	DENND4A	IRF8	0.288	0.149	0.139	0.000
AML	EBF1	IRF8	0.200	0.318	-0.119	0.000
AML	EBF1	SPI1	0.178	0.281	-0.102	0.000
AML	FAM227B	PDK3	0.305	0.203	0.102	0.000
AML	FLI1	ZEB2	0.259	0.159	0.100	0.000
AML	GATA1	LMO2	0.382	0.278	0.104	0.000
AML	GATA1	ZFPM1	0.272	0.149	0.123	0.000
AML	GCLC	SPI1	0.256	0.155	0.101	0.000
AML	GFI1	MED13L	0.267	0.102	0.165	0.000
AML	GFI1	MICU1	0.303	0.111	0.192	0.000
AML	GFI1	MYB	0.355	0.177	0.178	0.000
AML	GFI1	SPI1	0.263	0.107	0.156	0.000
AML	GFI1	WSB1	0.256	0.074	0.181	0.000
AML	GFI1B	MPL	0.351	0.150	0.201	0.000
AML	GFI1B	ZFPM1	0.314	0.208	0.105	0.000
AML	GNG5	PREX1	0.261	0.153	0.107	0.000
AML	GPR82	IL18	0.369	0.268	0.101	0.000
AML	GSE1	LDB1	0.254	0.136	0.118	0.000
AML	GSE1	LMO2	0.252	0.000	0.252	0.000
AML	GSE1	MYB	0.248	0.057	0.191	0.000
AML	GSE1	RUNX1	0.275	0.106	0.169	0.000
AML	H4C7	PIP4P1	0.270	0.170	0.100	0.001
AML	IRF2BP2	MYB	0.265	0.106	0.159	0.000
AML	IRF8	MDH2	0.267	0.046	0.221	0.000
AML	IRF8	MEF2B	0.238	0.379	-0.141	0.000
AML	IRF8	MEF2D	0.393	0.024	0.369	0.000
AML	IRF8	MICU1	0.262	0.034	0.227	0.000
AML	IRF8	MYB	0.278	0.005	0.273	0.000
AML	IRF8	PPCS	0.292	0.183	0.109	0.000
AML	IRF8	SIK3	0.322	0.086	0.236	0.000
AML	IRF8	SPI1	0.389	0.104	0.286	0.000
AML	IRF8	STAT5B	0.262	0.055	0.206	0.000
AML	JAK2	LMO2	0.319	0.069	0.250	0.000
AML	LDB1	LMO2	0.419	0.237	0.183	0.000
AML	LDB1	MYB	0.320	0.200	0.120	0.000
AML	LDB1	RUNX1	0.313	0.191	0.122	0.000
AML	LMO2	LYL1	0.268	0.136	0.132	0.000
AML	LMO2	MYB	0.362	0.187	0.176	0.000
AML	LMO2	RUNX1	0.342	0.130	0.212	0.000
AML	LRP1B	PDK3	0.268	0.165	0.103	0.000
AML	LYL1	MYB	0.332	0.200	0.132	0.000
AML	LYL1	SPI1	0.262	0.105	0.157	0.000
AML	MED13L	MYB	0.339	0.218	0.121	0.000
AML	MED13L	SIK3	0.288	0.157	0.131	0.000
AML	MED13L	WSB1	0.275	0.162	0.114	0.000
AML	MED13L	ZEB2	0.303	0.201	0.103	0.000
AML	MEF2B	SPI1	0.196	0.322	-0.126	0.000
AML	MEF2D	SPI1	0.277	0.007	0.270	0.000
AML	MICU1	MYB	0.343	0.130	0.213	0.000
AML	MICU1	SPI1	0.297	0.032	0.265	0.000
AML	MPL	TMEM125	0.141	0.277	-0.136	0.001
AML	MYB	PREX1	0.285	0.137	0.148	0.000
AML	MYB	RPS6KA1	0.288	0.147	0.141	0.000
AML	MYB	SIK3	0.281	0.119	0.162	0.000
AML	MYB	SPI1	0.354	0.033	0.321	0.000
AML	MYB	STK17B	0.376	0.263	0.112	0.000
AML	MYB	TMEM164	0.284	0.172	0.112	0.000
AML	MYB	WSB1	0.344	0.224	0.121	0.000
AML	MYB	ZEB2	0.300	0.121	0.180	0.000
AML	P2RY12	RUNX2	0.292	0.188	0.104	0.001
AML	PAX5	SPI1	0.207	0.324	-0.117	0.000
AML	PDK3	PHKB	0.258	0.153	0.105	0.000
AML	PDK3	PROP1	0.254	0.146	0.108	0.001
